x,truedata,truelower,trueupper,diff,max,entropy ,entropy attention
-66,2.20221445221445,2.08921,2.31522,1.88824137529137,2.05427604895104,2.21281751165501,1.84204938811188
-65,2.16257631257631,2.05698,2.26818,1.87472571123321,2.04054934676434,2.20513488095238,1.83069009462759
-64,2.11752136752136,2.01924,2.21581,1.8715142094017,2.03653311965812,2.20257788461538,1.82836463675213
-63,2.13690476190476,2.04138,2.23243,1.87049568070818,2.03471068070818,2.20041874236874,1.8271622008547
-62,2.13910256410256,2.04279,2.23542,1.86910623931623,2.03267322649572,2.1987767094017,1.82582502136752
-61,2.1260989010989,2.02599,2.22621,1.87602562271062,2.03616316849816,2.19812369963369,1.83374687728937
-60,2.1246114996115,2.02839,2.22084,1.88993557747807,2.04694428821178,2.19861699689199,1.84780942918192
-59,2.11608669108669,2.02178,2.2104,1.89153962759462,2.04718852564102,2.19753382173382,1.84944209401709
-58,2.11858974358974,2.02374,2.21344,1.90047223748473,2.05373853785103,2.19771549145299,1.85846477411477
-57,2.14633699633699,2.05226,2.24041,1.92061592796092,2.07343542429792,2.19949662698412,1.87803926129426
-56,2.14771062271062,2.04518,2.25024,1.93771565323565,2.08763185286935,2.20126059218559,1.89446677960928
-55,2.16217948717948,2.06236,2.262,1.95769412393162,2.10423841880341,2.20439299145299,1.91494002136752
-54,2.1844017094017,2.07861,2.2902,1.98498337606837,2.12835121794871,2.20942027777777,1.94060369658119
-53,2.23192918192918,2.142,2.32186,2.02285305860805,2.16590042124542,2.21524596153846,1.97878797924297
-52,2.305994005994,2.22409,2.3879,2.08103486013985,2.21788602619602,2.22434428210678,2.03139861915861
-51,2.31987179487179,2.21935,2.42039,2.12846989010989,2.26008963369963,2.23372797619047,2.07964549450549
-50,2.30387667887667,2.19654,2.41122,2.16180552503052,2.28741673992674,2.24020142246642,2.11100595848595
-49,2.33891941391941,2.22829,2.44955,2.18012821733821,2.30251626984126,2.24402967032967,2.1305057020757
-48,2.36327838827838,2.2508,2.47575,2.19999757631257,2.31866293650793,2.24758877289377,2.14989595848595
-47,2.39362026862026,2.28109,2.50615,2.24148304639804,2.35527206043956,2.25546678571428,2.19389437728937
-46,2.36483516483516,2.24401,2.48566,2.26559652014652,2.37291355311355,2.26118181318681,2.21467163003662
-45,2.36721611721611,2.23603,2.49841,2.31564007326007,2.41428131868131,2.2715063003663,2.26323316849816
-44,2.44630369630369,2.32389,2.56872,2.33610236874236,2.43174454212454,2.27623981129981,2.28324855644355
-43,2.5014319014319,2.38719,2.61568,2.3801939072039,2.46857838827838,2.28550276001776,2.32717842823842
-42,2.46770451770451,2.36156,2.57385,2.41063003052503,2.49354018925518,2.29310728327228,2.35516498778998
-41,2.55531135531135,2.45825,2.65238,2.46494998778998,2.53681739010989,2.30493012515262,2.41160917582417
-40,2.62509157509157,2.52991,2.72028,2.51984946886446,2.58071667582417,2.31764671245421,2.46854891941391
-39,2.62545787545787,2.53415,2.71676,2.53438657509157,2.59295632783882,2.3219096062271,2.48472807692307
-38,2.67185592185592,2.58189,2.76182,2.58358657509157,2.63418294261294,2.33527898656898,2.53423199633699
-37,2.68485958485958,2.58646,2.78326,2.61627478021978,2.66050578144078,2.34300918803418,2.5657562087912
-36,2.69859584859584,2.60053,2.79666,2.6230234065934,2.66614369352869,2.34502981990232,2.57310601648351
-35,2.70082417582417,2.6082,2.79344,2.65705152930402,2.69397517399267,2.35519987179487,2.6085494047619
-34,2.74148351648351,2.65842,2.82455,2.69989711538461,2.72885982600732,2.36842397435897,2.65041065934065
-33,2.77893772893772,2.69231,2.86556,2.75452635531135,2.77498771062271,2.38407523809523,2.70669397435897
-32,2.77246642246642,2.68753,2.8574,2.79316777472527,2.80663897130647,2.39445185592185,2.74431777167277
-31,2.80924908424908,2.71079,2.90771,2.83881041208791,2.84515912087912,2.40890066849816,2.79378514652014
-30,2.82435897435897,2.72494,2.92378,2.86616956043956,2.86726073260073,2.41806652014652,2.81993016483516
-29,2.85357142857142,2.76166,2.94549,2.8874827014652,2.88475481684981,2.42469415750915,2.84332084249084
-28,2.8812271062271,2.78201,2.98044,2.91355323260073,2.9065161080586,2.43207467948717,2.87276134615384
-27,2.89221611721611,2.79386,2.99057,2.92366133699633,2.91462201465201,2.43547046703296,2.88424815934065
-26,2.95906593406593,2.86064,3.05749,2.95821481684981,2.94186313186813,2.44741735347985,2.92339499999999
-25,2.98131868131868,2.88181,3.08083,2.97753504578754,2.956775503663,2.45330502747252,2.94462831501831
