participant_id,trial_number,distribution_type,first_option,second_option,chosen_type,ball_weight,action_selection_conf,success_prediction_conf,balls_in_box,trial_success,trial_reward,cumulative_reward,action_conf_selection_time,action_conf_confirmation_time,prediction_conf_selection_time,prediction_conf_confirmation_time
217,99,narrow_low,narrow_low,wide_high,narrow_low,0.2033691187235093,6.0,5.0,0.0,False,0.0,834.0,1.93500018119812,2.183000087738037,0.0269999504089355,0.0350000858306884
217,100,wide_low,narrow_high,wide_low,wide_low,0.2225231124693104,5.0,5.0,1.0,True,11.0,845.0,1.0160000324249268,1.364999771118164,2.4659998416900635,2.6659998893737793
217,101,wide_low,wide_low,narrow_high,wide_low,0.2089994085755524,6.0,5.0,0.0,False,0.0,845.0,1.8490002155303955,2.132000207901001,0.0420002937316894,0.0559999942779541
217,102,wide_low,narrow_high,wide_low,wide_low,0.2913826697286668,5.0,5.0,0.0,False,0.0,845.0,2.065999984741211,2.2819998264312744,1.0179998874664309,1.3489999771118164
217,103,wide_low,wide_low,wide_high,wide_low,0.2716072277464277,4.0,4.0,1.0,True,11.0,856.0,2.634000062942505,3.2159998416900635,0.9140000343322754,1.180999994277954
217,104,narrow_low,narrow_low,narrow_high,narrow_low,0.1756936243918955,6.0,4.0,0.0,False,0.0,856.0,0.6669998168945312,0.8819999694824219,0.9170000553131104,1.1159999370574951
217,105,wide_low,wide_high,wide_low,wide_low,0.2873686823883435,6.0,5.0,1.0,True,11.0,867.0,2.716999769210815,2.9659998416900635,0.999000072479248,1.2150001525878906
217,106,wide_low,narrow_low,wide_low,wide_low,0.1914550104101064,5.0,5.0,0.0,False,0.0,867.0,1.7170002460479736,1.949000358581543,0.7999999523162842,0.9320001602172852
217,107,narrow_low,narrow_low,wide_high,narrow_low,0.2445380074133702,6.0,5.0,1.0,True,10.0,877.0,3.883000135421753,4.132000207901001,0.1489999294281005,0.4649999141693115
217,108,wide_high,wide_low,wide_high,wide_high,0.2742318456403843,3.0,3.0,0.0,False,0.0,877.0,2.616000175476074,3.265000104904175,1.0,1.2160000801086426
220,1,narrow_high,narrow_high,wide_high,narrow_high,0.3204160489008903,4.0,5.0,0.0,False,0.0,0.0,15.97099995613098,17.161999702453613,24.07799983024597,25.301999807357788
220,2,wide_low,narrow_high,wide_low,wide_low,0.2551498787338883,6.0,5.0,1.0,False,11.0,11.0,2.995000123977661,6.744000196456909,5.306000232696533,6.391999959945679
220,3,narrow_low,narrow_low,wide_low,narrow_low,0.2160911574888919,3.0,6.0,1.0,False,10.0,21.0,11.543999910354614,12.506999731063845,1.9620001316070557,3.7300000190734863
220,4,narrow_high,narrow_high,wide_low,narrow_high,0.3172722239627139,6.0,3.0,0.0,False,0.0,21.0,3.3989999294281006,4.203999996185303,2.2259998321533203,3.1009998321533203
220,5,narrow_low,wide_low,narrow_low,narrow_low,0.202688626825879,4.0,6.0,1.0,False,10.0,31.0,6.0289998054504395,6.746999740600586,3.607999801635742,4.448999881744385
220,6,wide_high,narrow_high,wide_high,wide_high,0.2647822643752282,6.0,3.0,1.0,False,18.0,49.0,1.823000192642212,2.575999975204468,2.7339999675750732,3.75
220,7,narrow_high,narrow_high,narrow_low,narrow_high,0.3105855719767452,6.0,2.0,0.0,False,0.0,49.0,3.9589998722076416,4.886999845504761,2.013999938964844,2.943000078201294
220,8,wide_low,wide_low,narrow_high,wide_low,0.1988770828504504,3.0,5.0,1.0,False,11.0,60.0,14.878000020980837,15.472999811172484,1.874000072479248,2.8550000190734863
220,9,wide_low,wide_low,narrow_low,wide_low,0.2174086381577377,5.0,4.0,1.0,False,11.0,71.0,9.39299988746643,10.425999641418455,3.118000030517578,3.8359999656677246
220,10,wide_high,wide_high,narrow_high,wide_high,0.2488022986443363,6.0,5.0,1.0,False,18.0,89.0,2.6460001468658447,3.626000165939331,5.765000104904175,6.9720001220703125
220,11,narrow_high,wide_low,narrow_high,narrow_high,0.2725685718816247,5.0,3.0,1.0,False,14.0,103.0,16.80400013923645,17.731000185012817,4.58899998664856,5.446999788284302
220,12,wide_high,narrow_low,wide_high,wide_high,0.2440802631038954,6.0,2.0,1.0,False,18.0,121.0,0.9639999866485596,1.7880001068115234,1.3839998245239258,1.9799997806549072
